,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
33,6,6,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.245343852043152,10.8,1.16619037896906,0.477758,0.5960461849812093,0.23763835839485434,0.002041804,0.2986442691407503,0.24985259453885714,5,2,0.2,eom,manhattan
34,43,43,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",9.574970960617065,10.7,1.004987562112089,0.47767454,0.5803821204232588,0.08850435358130777,0.0022529056,0.21003639755710635,0.11039169165017074,5,5,0.2,eom,mahalanobis
35,38,38,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0187374353408813,11.0,1.5491933384829668,0.47744244,0.6058215886959757,0.22252712154588855,0.0027324636,0.2695237644576117,0.20834288867569184,5,5,0.1,eom,euclidean
36,14,14,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0359382629394531,9.8,0.7483314773547883,0.4774199,0.7331360230787124,0.32809496930292886,0.0015920728,0.2516736908274342,0.13163075457163292,5,2,0.4,eom,euclidean
37,62,62,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.031555962562561,10.8,0.6,0.4774146,0.5472634966512733,0.30176430615707445,0.0016390596,0.15235995513935344,0.10172353645938091,5,5,0.8,eom,euclidean
38,26,26,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0371653079986571,10.4,1.0198039027185568,0.47740707,0.6820908773614431,0.295184792094948,0.0017202568,0.16918827296842498,0.10358173655020811,5,2,0.8,eom,euclidean
39,48,48,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0957911968231202,10.6,0.7999999999999999,0.4774062,0.658225778850176,0.22452754564214467,0.00170458,0.2098076030762435,0.16661176666562008,5,5,0.4,eom,manhattan
40,12,12,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.1334716796875,11.1,1.0440306508910548,0.4773726,0.6162796212318388,0.20820072492968986,0.0013335322,0.2486705223330698,0.21998541479124673,5,2,0.4,eom,manhattan
41,42,42,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0743452310562134,10.1,1.2206555615733703,0.4773128,0.7633354608935787,0.227077167098243,0.002084675,0.2073195380249043,0.1678839982889563,5,5,0.2,eom,manhattan
42,36,36,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.072321319580078,11.1,1.1357816691600546,0.47605237,0.9250503879625853,0.062235827631914244,0.0035469418,0.30555098975452333,0.10724422990076199,5,5,0.1,eom,manhattan
43,1,1,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",12.238301730155944,11.1,1.0440306508910548,0.47604975,0.7507871949768603,0.15037602488778443,0.0021504718,0.4763560904371326,0.19353988461447147,5,2,0.1,eom,mahalanobis
44,2,2,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0679133415222168,11.3,1.004987562112089,0.47591,0.7125336649521249,0.0898576675649779,0.0029942638,0.3050169566180429,0.1793928163984141,5,2,0.1,eom,euclidean
