,Unnamed: 0,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
65,65,106,106,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.9869249820709225,7.0,0.0,0.49780655,1.0052231193027958,0.2340049740322251,0.0020382688,0.1093204994420195,0.079133038345307,15,10,1.0,eom,mahalanobis
66,66,62,62,"{'min_samples': 15, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.277197241783142,7.0,0.0,0.49779883,1.0093169384699912,0.2085813074964081,0.0024928085,0.1020406443114166,0.104289087488687,15,2,0,eom,mahalanobis
67,67,269,269,"{'min_samples': 5, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0290130853652957,5.6,0.4898979485566356,0.4977964,0.8878011469363631,0.22779556912215,0.0009915162,0.1353127767720034,0.0758898494769139,5,20,0.6,eom,euclidean
68,68,442,442,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0410611629486084,5.6,0.4898979485566356,0.49779606,0.9428755244583784,0.0278768065076458,0.0009675573,0.135932607381615,0.0654295513462372,20,20,0.1,eom,manhattan
69,69,421,421,"{'min_samples': 5, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",10.285842752456665,6.7,0.458257569495584,0.49778947,0.9087365448929464,0.2560986853791861,0.0030771815,0.0514136996267578,0.017460526196101,5,20,0,eom,mahalanobis
70,70,327,327,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.95410385131836,6.4,0.4898979485566356,0.49778613,0.8855903174661343,0.257830659076524,0.0015440999,0.1451379821696658,0.0137731498376815,15,20,0.1,eom,mahalanobis
71,71,54,54,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",5.918481636047363,6.3,0.7810249675906654,0.49776492,0.990797245962671,0.1957340496878811,0.0016195431,0.1538663302963386,0.0991392598214879,20,2,1.0,leaf,mahalanobis
72,72,156,156,"{'min_samples': 25, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.626427555084229,5.5,0.806225774829855,0.49775043,1.1273099216866835,0.2122956734996669,0.0014909486,0.4963469107454403,0.0744707280600153,25,20,0.6,eom,mahalanobis
73,73,392,392,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",7.425965714454651,6.7,0.458257569495584,0.49774927,0.8807061987794258,0.2684585783834766,0.0015062625,0.1191378411703205,0.0013428117429973,10,20,0.6,eom,mahalanobis
74,74,414,414,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.55610044002533,6.0,0.4472135954999579,0.4977246,0.9209671960221758,0.2436487099804944,0.0020322422,0.119715333240386,0.0083209506597542,25,2,0.2,eom,mahalanobis
75,75,186,186,"{'min_samples': 25, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.8900680780410767,5.1,0.3,0.49771553,1.1045801837814055,0.2406322215101822,0.0016412267,0.062840263782097,0.0030791947844228,25,10,0.8,leaf,euclidean
76,76,35,35,"{'min_samples': 25, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.612961840629578,6.0,0.6324555320336759,0.49771088,0.9379767179021676,0.25132955271284,0.0019817722,0.12866152756943,0.0103802792144732,25,20,0.1,eom,mahalanobis
77,77,238,238,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0857192039489747,5.2,0.3999999999999999,0.4976817,1.0609863997785909,0.1678833452273757,0.001751392,0.1196475258407105,0.1090159366163298,25,2,0,eom,manhattan
78,78,187,187,"{'min_samples': 25, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9303645133972168,5.4,0.4898979485566356,0.49768037,1.015010038042844,0.2492205688649059,0.0009821228,0.1403235469824903,0.0137528489974619,25,20,0.4,eom,euclidean
79,79,9,9,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.07311372756958,5.3,0.458257569495584,0.49767366,1.0235078496228618,0.244316321095717,0.001566362,0.147083980477585,0.008797785795962,15,20,0.8,eom,euclidean
80,80,444,444,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9110987663269045,5.1,0.3,0.4976715,1.0941006282789612,0.2402010637500268,0.0009760371,0.0529103552029451,0.0036161999267185,25,2,1.0,eom,euclidean
